"UTIL_DEVICE_ID","NIC_MAC_ID","UIQ_DEVICE_STATE","IP_ADDRESS","LATITUDE_DEG","LONGITUDE_DEG","INSERT_TS","'STREETLIGHT'","UTIL_PREMISE_ID","ADDRESS1","INSTANT_POWER","INSTANT_VOLTAGE","ENERGY_DELIVERED","CURRENT_MAGNITUDE"
"0000000012159223",0013500500562BC4,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2bc4",37.7960495089,144.924734977,19/JUL/18 02:34:50.974569000 AM,"Street Light","A116221","65 KENSINGTON ROAD",,,,
"0000000012159222",0013500500562BAD,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2bad",37.7960848141,144.924170837,19/JUL/18 02:34:50.979049000 AM,"Street Light","A026814","90 KENSINGTON ROAD",,,,
"0000000012159224",0013500500562F7B,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2f7b",-37.7952504151,144.9258635984,19/JUL/18 02:34:50.981871000 AM,"Street Light","A026003","39 KENSINGTON ROAD",,,,
"0000000012159397",0013500500564DB5,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4db5",-37.7964319398,144.9235683356,19/JUL/18 02:34:50.983231000 AM,"Street Light","A026813","98 KENSINGTON ROAD",,,,
"0000000012159220",0013500500562650,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2650",-37.7963712047,144.9239457828,19/JUL/18 02:34:50.986397000 AM,"Street Light","A026019","90 KENSINGTON ROAD",,,,
"0000000012159226",001350050056264C,"Discovered","fdc5:31e4:14e:2d:213:5005:56:264c",-37.7967670857,144.9232570892,19/JUL/18 02:34:50.989130000 AM,"Street Light","A026021","102 KENSINGTON ROAD",,,,
"0000000012159230",0013500500562683,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2683",-37.7969438876,144.9229495257,19/JUL/18 02:34:50.990510000 AM,"Street Light","A026022","110 KENSINGTON ROAD",,,,
"0000000012159221",001350050056265C,"Discovered","fdc5:31e4:14e:2d:213:5005:56:265c",-37.7972260882,144.9224584804,19/JUL/18 02:34:50.992077000 AM,"Street Light","A026024","67 KENSINGTON ROAD",,,,
"0000000012159231",0013500500562656,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2656",-37.7976473058,144.9217256208,19/JUL/18 02:34:50.994323000 AM,"Street Light","A026026","126 KENSINGTON ROAD",,,,
"0000000012159228",0013500500562654,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2654",37.7977622889,144.921227443,19/JUL/18 02:34:50.996178000 AM,"Street Light","A026809","132 KENSINGTON ROAD",,,,
"0000000012159377",0013500500564E3D,"Discovered","fdc5:31e4:14e:9e:213:5005:56:4e3d",-37.7807496301,144.9113975389,19/JUL/18 02:34:51.013219000 AM,"Street Light","A009722","8 LANGS ROAD",,,,
"0000000012159406",0013500500564E0B,"Discovered","fdc5:31e4:14e:9e:213:5005:56:4e0b",-37.7819453279,144.9093482299,19/JUL/18 02:34:51.027264000 AM,"Street Light","A012199","28 LANGS ROAD",,,,
"0000000012159403",0013500500561AE9,"Discovered","fdc5:31e4:14e:54:213:5005:56:1ae9",-37.7829440936,144.9079701281,19/JUL/18 02:34:51.028917000 AM,"Street Light","A133108","50 LANGS ROAD",,,,
"0000000012159381",0013500500564E0C,"Discovered","fdc5:31e4:14e:9e:213:5005:56:4e0c",-37.7813265821,144.9104146009,19/JUL/18 02:34:51.032992000 AM,"Street Light","A012197","14 LANGS ROAD",,,,
"0000000012159391",0013500500561B8C,"Discovered","fdc5:31e4:14e:2d:213:5005:56:1b8c",-37.7888400036,144.9232170276,19/JUL/18 02:34:51.035532000 AM,"Street Light","A021317","28 LITTLE BENDALL STREET",,,,
"0000000012159414",0013500500564D40,"Discovered","fdc5:31e4:14e:96:213:5005:56:4d40",-37.7889592707,144.9230349182,19/JUL/18 02:34:51.036889000 AM,"Street Light","A021316","28 LITTLE BENDALL STREET",,,,
